name,id,cot_type,servertime
AB62F8,39807738,a-n-A-C-F-m,201705080850
ICAO-C05F54,39734758,a-n-A-C-F,201705071755
A2F591,39683351,a-n-A-C-F-m,201705071700
ICAO-A124B5,39769873,a-n-A-C-F-m,201705071935
A38E11,39691554,a-n-A-C-F-m,201705071710
ICAO-8682DA,39766759,a-n-A-C-F,201705071855
ICAO-A491FB,39781717,a-n-A-C-F-m,201705072350
ICAO-AB2AE1,39781911,a-n-A-C-F-m,201705080000
A836FB,39682585,a-n-A-C-F-m,201705071700
AB62F8,39803821,a-n-A-C-F-m,201705080850
345241,39763229,a-n-A-C-F-m,201705071810
AA8B40,39694922,a-n-A-C-F-m,201705071710
A791C0,39762997,a-n-A-C-F-m,201705071810
A80287,39753769,a-n-A-C-F-m,201705071800
A836FB,39679497,a-n-A-C-F-m,201705071700
ICAO-A4460E,39787312,a-n-A-C-F-m,201705080720
ICAO-47C5C9,39768952,a-n-A-C-F,201705071925
A9C5C5,39795253,a-n-A-C-F-m,201705080845
AA600A,39670272,a-n-A-C-F-m,201705071650
C0193B,39733204,a-n-A-C-F-m,201705071750
C0193B,39726603,a-n-A-C-F-m,201705071745
A12BCD,39725230,a-n-A-C-F-m,201705071740
ICAO-A3C3E0,39776092,a-n-A-C-F-m,201705072055
ICAO-4D20B7,39771386,a-n-A-C-F,201705071950
AB1971,39699912,a-n-A-C-F-m,201705071715
AAF183,39690288,a-n-A-C-F-m,201705071710
A8913B,39695417,a-n-A-C-F-m,201705071710
A8913B,39697514,a-n-A-C-F-m,201705071715
AD8BED,39736651,a-n-A-C-F-m,201705071755
AA6F46,39704889,a-n-A-C-F-m,201705071720
A0DDFB,39754955,a-n-A-C-F-m,201705071800
AD8BED,39728934,a-n-A-C-F-m,201705071745
AA7C64,39720120,a-n-A-C-F-m,201705071730
AA600A,39665941,a-n-A-C-F-m,201705071645
AD734A,39724163,a-n-A-C-F-m,201705071740
ICAO-34520B,39722326,a-n-A-C-F,201705071735
ABA7B0,39668920,a-n-A-C-F-m,201705071650
AA8B40,39692203,a-n-A-C-F-m,201705071710
A3FF61,39734448,a-n-A-C-F-m,201705071750
A8913B,39706332,a-n-A-C-F-m,201705071720
A85119,39803441,a-n-A-C-F-m,201705080850
ICAO-A880FF,39765546,a-n-A-C-F-m,201705071830
ACC3B4,39792870,a-n-A-C-F-m,201705080845
ICAO-AA96E2,39787761,a-n-A-C-F-m,201705080725
A9B85B,39725579,a-n-A-C-F-m,201705071745
ICAO-A845F4,39792172,a-n-A-C-F-m,201705080845
A8299A,39671488,a-n-A-C-F-m,201705071655
C01766,39672351,a-n-A-C-F-m,201705071655
AB7B02,39672789,a-n-A-C-F-m,201705071655
A65527,39711556,a-n-A-C-F-m,201705071725
A6A7DC,39657402,a-n-A-C-F-m,201705071635
AA75EF,39719960,a-n-A-C-F-m,201705071730
ICAO-A6A7DC,39767226,a-n-A-C-F-m,201705071900
AA75EF,39719549,a-n-A-C-F-m,201705071730
AB62F8,39797802,a-n-A-C-F-m,201705080850
ICAO-780A15,39775771,a-n-A-C-F,201705072045
AC71DD,39762515,a-n-A-C-F-m,201705071810
ICAO-40073F,39769460,a-n-A-C-F,201705071930
ICAO-A4DAD4,39775700,a-n-A-C-F-m,201705072045
ICAO-A2C094,39776631,a-n-A-C-F-m,201705072125
A7FED0,39701503,a-n-A-C-F-m,201705071715
ICAO-AD6C3B,39773270,a-n-A-C-F-m,201705072020
A6FA94,39664609,a-n-A-C-F-m,201705071645
A8A3CE,39729816,a-n-A-C-F-m,201705071750
42423F,39664173,a-n-A-C-F-m,201705071645
A6A7DC,39657445,a-n-A-C-F-m,201705071635
A836FB,39679248,a-n-A-C-F-m,201705071700
A3EE1F,39659074,a-n-A-C-F-m,201705071640
AA7E7C,39677783,a-n-A-C-F-m,201705071655
ICAO-3C4AA6,39782988,a-n-A-C-F,201705080330
AA7E7C,39675660,a-n-A-C-F-m,201705071655
A8A3CE,39726303,a-n-A-C-F-m,201705071745
A96BA2,39692512,a-n-A-C-F-m,201705071710
A96BA2,39697044,a-n-A-C-F-m,201705071715
A35AAE,39711851,a-n-A-C-F-m,201705071725
AA600A,39664204,a-n-A-C-F-m,201705071645
A6082F,39693953,a-n-A-C-F-m,201705071710
A43EA6,39684034,a-n-A-C-F-m,201705071705
A9B85B,39725373,a-n-A-C-F-m,201705071745
ICAO-A491FB,39781801,a-n-A-C-F-m,201705072355
AACF19,39758200,a-n-A-C-F-m,201705071805
A7ED31,39666559,a-n-A-C-F-m,201705071650
A6082F,39700538,a-n-A-C-F-m,201705071715
AA60AF,39715174,a-n-A-C-F-m,201705071725
A77AD8,39763354,a-n-A-C-F-m,201705071810
ABF826,39693219,a-n-A-C-F-m,201705071710
345241,39758413,a-n-A-C-F-m,201705071805
A8E813,39806885,a-n-A-C-F-m,201705080850
AC71DD,39763469,a-n-A-C-F-m,201705071810
A35AAE,39712915,a-n-A-C-F-m,201705071725
A63665,39682422,a-n-A-C-F-m,201705071700
A836FB,39671602,a-n-A-C-F-m,201705071655
E80244,39679905,a-n-A-C-F-m,201705071700
AA60AF,39718199,a-n-A-C-F-m,201705071730
A9B85B,39721512,a-n-A-C-F-m,201705071735
ICAO-A967EB,39785632,a-n-A-C-F-m,201705080635
ICAO-A98F6A,39774648,a-n-A-C-F-m,201705072035
A6A7DC,39658640,a-n-A-C-F-m,201705071640
C0193B,39727165,a-n-A-C-F-m,201705071745
AACF19,39760084,a-n-A-C-F-m,201705071805
ICAO-A0F541,39771244,a-n-A-C-F-m,201705071950
A87904,39696935,a-n-A-C-F-m,201705071715
AA56B6,39707939,a-n-A-C-F-m,201705071720
AACF19,39759683,a-n-A-C-F-m,201705071805
A8A3CE,39735489,a-n-A-C-F-m,201705071755
A8299A,39671595,a-n-A-C-F-m,201705071655
AA600A,39663959,a-n-A-C-F-m,201705071645
C06A39,39792407,a-n-A-C-F-m,201705080845
C0193B,39729811,a-n-A-C-F-m,201705071750
AACF19,39747466,a-n-A-C-F-m,201705071800
AB62F8,39794562,a-n-A-C-F-m,201705080845
ICAO-AD60B7,39780986,a-n-A-C-F-m,201705072340
ICAO-A8AEF3,39772678,a-n-A-C-F-m,201705072015
A262A9,39681458,a-n-A-C-F-m,201705071700
A8A3CE,39727746,a-n-A-C-F-m,201705071745
A654CB,39729495,a-n-A-C-F-m,201705071750
AA6F46,39711203,a-n-A-C-F-m,201705071725
A84D62,39760957,a-n-A-C-F-m,201705071805
A654CB,39727119,a-n-A-C-F-m,201705071745
ABF826,39690838,a-n-A-C-F-m,201705071710
AA6F46,39713470,a-n-A-C-F-m,201705071725
A6A7DC,39658613,a-n-A-C-F-m,201705071640
AD8BED,39735262,a-n-A-C-F-m,201705071755
ACCA88,39803049,a-n-A-C-F-m,201705080850
ICAO-42426C,39779835,a-n-A-C-F,201705072250
345241,39755791,a-n-A-C-F-m,201705071805
A583F5,39657024,a-n-A-C-F-m,201705071635
C06A39,39794819,a-n-A-C-F-m,201705080845
ICAO-A92171,39770218,a-n-A-C-F-m,201705071940
A9B85B,39725160,a-n-A-C-F-m,201705071740
AA8B40,39698451,a-n-A-C-F-m,201705071715
ICAO-ACB9ED,39788761,a-n-A-C-F-m,201705080750
ICAO-A89D59,39779253,a-n-A-C-F-m,201705072245
AA600A,39668897,a-n-A-C-F-m,201705071650
A8A3CE,39733321,a-n-A-C-F-m,201705071750
ICAO-4CC27F,39763920,a-n-A-C-F,201705071810
AA7C64,39720619,a-n-A-C-F-m,201705071735
AA60AF,39717196,a-n-A-C-F-m,201705071730
